날짜,시간,PM10,PM25,오존,이산화질소,일산화탄소,아황산가스
2021-09-01,1,8,4,0.055,0.002,0.4,0.004
2021-09-01,2,7,1,0.052,0.003,0.4,0.004
2021-09-01,3,7,1,0.050,0.003,0.5,0.004
2021-09-01,4,15,8,0.047,0.003,0.5,0.004
2021-09-01,5,24,11,0.043,0.004,0.6,0.004
2021-09-01,6,27,18,0.036,0.005,0.7,0.005
2021-09-01,7,26,20,0.034,0.006,0.7,0.005
2021-09-01,8,28,20,0.030,0.008,0.7,0.004
2021-09-01,9,25,14,0.023,0.012,0.6,0.004
2021-09-01,10,29,10,0.020,0.011,0.6,0.004
2021-09-01,11,15,11,0.013,0.016,0.6,0.004
2021-09-01,12,17,14,0.014,0.013,0.5,0.004
2021-09-01,13,13,12,0.018,0.007,0.5,0.004
2021-09-01,14,11,10,0.017,0.008,0.4,0.004
2021-09-01,15,11,8,0.017,0.008,0.4,0.004
2021-09-01,16,7,5,0.019,0.009,0.4,0.004
2021-09-01,17,9,3,0.035,0.007,0.5,0.004
2021-09-01,18,6,1,0.042,0.007,0.4,0.004
2021-09-01,19,2,1,0.041,0.008,0.4,0.004
2021-09-01,20,3,1,0.041,0.006,0.4,0.004
2021-09-01,21,5,1,0.039,0.006,0.4,0.004
2021-09-01,22,5,1,0.039,0.004,0.4,0.004
2021-09-01,23,5,1,0.039,0.004,0.4,0.004
2021-09-01,24,5,1,0.042,0.003,0.4,0.004
2021-09-02,1,3,1,0.038,0.003,0.4,0.004
2021-09-02,2,9,1,0.038,0.002,0.4,0.004
2021-09-02,3,9,1,0.040,0.002,0.4,0.004
2021-09-02,4,6,1,0.038,0.002,0.4,0.004
2021-09-02,5,8,1,0.040,0.002,0.4,0.004
2021-09-02,6,6,1,0.035,0.003,0.4,0.004
2021-09-02,7,8,2,0.036,0.005,0.4,0.004
2021-09-02,8,8,1,0.036,0.008,0.4,0.004
2021-09-02,9,14,3,0.043,0.006,0.4,0.004
2021-09-02,10,17,4,0.049,0.005,0.4,0.004
2021-09-02,11,18,4,0.052,0.004,0.4,0.004
2021-09-02,12,18,5,0.052,0.005,0.4,0.004
2021-09-02,13,16,4,0.052,0.005,0.4,0.004
2021-09-02,14,14,3,0.050,0.005,0.4,0.005
2021-09-02,15,12,6,0.046,0.006,0.4,0.005
2021-09-02,16,11,6,0.043,0.006,0.4,0.004
2021-09-02,17,13,6,0.041,0.007,0.4,0.004
2021-09-02,18,16,4,0.038,0.007,0.4,0.004
2021-09-02,19,18,4,0.034,0.006,0.4,0.004
2021-09-02,20,13,6,0.032,0.005,0.4,0.004
2021-09-02,21,11,4,0.031,0.005,0.4,0.004
2021-09-02,22,10,3,0.028,0.005,0.4,0.004
2021-09-02,23,13,1,0.027,0.005,0.4,0.004
2021-09-02,24,11,1,0.030,0.004,0.4,0.004
2021-09-03,1,11,2,0.024,0.005,0.5,0.005
2021-09-03,2,16,3,0.019,0.006,0.5,0.005
2021-09-03,3,13,3,0.016,0.006,0.5,0.004
2021-09-03,4,16,3,0.016,0.005,0.4,0.004
2021-09-03,5,16,3,0.015,0.004,0.4,0.004
2021-09-03,6,18,3,0.018,0.003,0.4,0.004
2021-09-03,7,10,2,0.019,0.004,0.4,0.004
2021-09-03,8,8,2,0.014,0.012,0.4,0.004
2021-09-03,9,11,4,0.023,0.008,0.4,0.004
2021-09-03,10,16,1,0.034,0.004,0.4,0.004
2021-09-03,11,12,1,0.035,0.004,0.4,0.004
2021-09-03,12,10,2,0.032,0.006,0.4,0.004
2021-09-03,13,14,1,0.031,0.008,0.4,0.004
2021-09-03,14,9,1,0.036,0.006,0.4,0.004
2021-09-03,15,9,4,0.033,0.008,0.4,0.004
2021-09-03,16,9,4,0.037,0.004,0.4,0.004
2021-09-03,17,8,2,0.036,0.006,0.4,0.004
2021-09-03,18,9,1,0.034,0.007,0.4,0.004
2021-09-03,19,7,3,0.031,0.008,0.4,0.004
2021-09-03,20,9,4,0.020,0.008,0.4,0.004
2021-09-03,21,11,5,0.021,0.006,0.4,0.004
2021-09-03,22,13,6,0.024,0.003,0.4,0.004
2021-09-03,23,15,4,0.023,0.002,0.4,0.004
2021-09-03,24,11,1,0.024,0.002,0.4,0.004
2021-09-04,1,15,1,0.021,0.003,0.4,0.004
2021-09-04,2,13,2,0.015,0.006,0.4,0.004
2021-09-04,3,15,3,0.012,0.006,0.4,0.004
2021-09-04,4,17,2,0.013,0.004,0.4,0.004
2021-09-04,5,18,2,0.011,0.005,0.4,0.004
2021-09-04,6,17,3,0.012,0.003,0.4,0.004
2021-09-04,7,18,4,0.009,0.006,0.4,0.004
2021-09-04,8,20,3,0.008,0.008,0.4,0.004
2021-09-04,9,24,5,0.013,0.007,0.4,0.004
2021-09-04,10,23,7,0.027,0.007,0.4,0.005
2021-09-04,11,17,6,0.037,0.004,0.4,0.004
2021-09-04,12,18,5,0.041,0.004,0.4,0.004
2021-09-04,13,15,6,0.043,0.004,0.4,0.004
2021-09-04,14,9,5,0.046,0.003,0.4,0.004
2021-09-04,15,8,2,0.048,0.004,0.4,0.004
2021-09-04,16,5,3,0.048,0.004,0.4,0.004
2021-09-04,17,6,3,0.044,0.004,0.4,0.004
2021-09-04,18,14,4,0.042,0.004,0.4,0.004
2021-09-04,19,12,4,0.038,0.006,0.4,0.004
2021-09-04,20,13,4,0.036,0.006,0.4,0.004
2021-09-04,21,11,4,0.033,0.005,0.4,0.004
2021-09-04,22,9,4,0.027,0.004,0.4,0.004
2021-09-04,23,14,3,0.028,0.003,0.4,0.004
2021-09-04,24,16,3,0.028,0.003,0.4,0.004
2021-09-05,1,14,3,0.026,0.004,0.4,0.004
2021-09-05,2,13,2,0.024,0.004,0.4,0.004
2021-09-05,3,12,3,0.016,0.005,0.4,0.004
2021-09-05,4,19,5,0.018,0.004,0.4,0.004
2021-09-05,5,13,5,0.020,0.003,0.4,0.004
2021-09-05,6,18,6,0.016,0.004,0.4,0.004
2021-09-05,7,15,4,0.013,0.006,0.4,0.004
2021-09-05,8,22,16,0.015,0.006,0.4,0.004
2021-09-05,9,19,7,0.022,0.005,0.4,0.004
2021-09-05,10,14,5,0.032,0.005,0.4,0.004
2021-09-05,11,19,5,0.040,0.003,0.4,0.004
2021-09-05,12,18,6,0.043,0.003,0.4,0.004
2021-09-05,13,18,7,0.044,0.003,0.4,0.004
2021-09-05,14,16,6,0.044,0.003,0.4,0.004
2021-09-05,15,11,3,0.045,0.004,0.4,0.005
2021-09-05,16,18,5,0.045,0.004,0.4,0.004
2021-09-05,17,19,6,0.044,0.004,0.4,0.004
2021-09-05,18,16,5,0.042,0.005,0.4,0.004
2021-09-05,19,16,9,0.036,0.005,0.4,0.004
2021-09-05,20,18,5,0.028,0.005,0.4,0.004
2021-09-05,21,15,2,0.025,0.004,0.4,0.004
2021-09-05,22,15,5,0.024,0.004,0.4,0.004
2021-09-05,23,14,5,0.022,0.004,0.4,0.004
2021-09-05,24,12,3,0.019,0.006,0.4,0.004
2021-09-06,1,13,1,0.024,0.002,0.4,0.004
2021-09-06,2,14,6,0.023,0.002,0.4,0.004
2021-09-06,3,14,3,0.019,0.002,0.4,0.004
2021-09-06,4,12,2,0.014,0.003,0.4,0.004
2021-09-06,5,13,4,0.011,0.005,0.4,0.004
2021-09-06,6,17,5,0.027,0.004,0.4,0.004
2021-09-06,7,11,5,0.026,0.007,0.4,0.004
2021-09-06,8,8,6,0.016,0.008,0.4,0.004
2021-09-06,9,15,3,0.028,0.006,0.4,0.004
2021-09-06,10,10,2,0.034,0.005,0.4,0.004
2021-09-06,11,7,7,0.038,0.004,0.4,0.004
2021-09-06,12,7,7,0.044,0.004,0.4,0.004
2021-09-06,13,,,,,,
2021-09-06,14,,,0.037,0.005,0.4,0.004
2021-09-06,15,24,11,0.039,0.004,0.4,0.004
2021-09-06,16,28,7,0.039,0.005,0.4,0.004
2021-09-06,17,24,4,0.039,0.006,0.4,0.004
2021-09-06,18,27,8,0.037,0.007,0.4,0.004
2021-09-06,19,30,12,0.035,0.008,0.4,0.004
2021-09-06,20,32,11,0.032,0.008,0.4,0.004
2021-09-06,21,27,11,0.033,0.006,0.4,0.004
2021-09-06,22,28,11,0.031,0.004,0.4,0.004
2021-09-06,23,23,7,0.031,0.005,0.4,0.004
2021-09-06,24,29,11,0.030,0.004,0.4,0.004
2021-09-07,1,25,8,0.035,0.004,0.4,0.004
2021-09-07,2,27,10,0.033,0.005,0.5,0.005
2021-09-07,3,22,11,0.034,0.004,0.4,0.004
2021-09-07,4,27,9,0.034,0.004,0.4,0.004
2021-09-07,5,23,12,0.032,0.005,0.5,0.005
2021-09-07,6,25,12,0.031,0.006,0.6,0.005
2021-09-07,7,27,12,0.031,0.007,0.5,0.005
2021-09-07,8,26,16,0.030,0.009,0.5,0.005
2021-09-07,9,27,9,0.028,0.008,0.5,0.004
2021-09-07,10,21,7,0.026,0.009,0.5,0.004
2021-09-07,11,25,11,0.029,0.007,0.5,0.004
2021-09-07,12,22,10,0.037,0.006,0.4,0.005
2021-09-07,13,25,10,0.039,0.008,0.4,0.004
2021-09-07,14,18,11,0.034,0.010,0.4,0.004
2021-09-07,15,31,9,0.032,0.012,0.4,0.004
2021-09-07,16,27,9,0.030,0.015,0.4,0.005
2021-09-07,17,31,15,0.026,0.020,0.5,0.005
2021-09-07,18,36,14,0.011,0.027,0.5,0.005
2021-09-07,19,44,17,0.006,0.027,0.5,0.005
2021-09-07,20,46,25,0.005,0.025,0.6,0.004
2021-09-07,21,46,27,0.005,0.021,0.6,0.004
2021-09-07,22,40,17,0.005,0.016,0.6,0.004
2021-09-07,23,39,16,0.005,0.018,0.6,0.004
2021-09-07,24,37,19,0.005,0.014,0.6,0.004
2021-09-08,1,39,17,0.005,0.016,0.6,0.004
2021-09-08,2,40,21,0.008,0.018,0.5,0.004
2021-09-08,3,33,15,0.015,0.011,0.5,0.004
2021-09-08,4,29,17,0.022,0.008,0.5,0.004
2021-09-08,5,25,10,0.020,0.007,0.4,0.004
2021-09-08,6,23,13,0.016,0.008,0.4,0.004
2021-09-08,7,19,8,0.013,0.008,0.4,0.004
2021-09-08,8,20,8,0.011,0.009,0.4,0.004
2021-09-08,9,29,11,0.015,0.011,0.5,0.004
2021-09-08,10,25,12,0.018,0.012,0.5,0.005
2021-09-08,11,31,12,0.025,0.012,0.5,0.005
2021-09-08,12,23,13,0.036,0.008,0.4,0.004
2021-09-08,13,17,7,0.046,0.005,0.4,0.004
2021-09-08,14,9,4,0.051,0.005,0.4,0.004
2021-09-08,15,14,2,0.052,0.006,0.4,0.004
2021-09-08,16,19,9,0.051,0.008,0.4,0.004
2021-09-08,17,13,8,0.055,0.009,0.4,0.004
2021-09-08,18,18,10,0.052,0.007,0.4,0.004
2021-09-08,19,23,7,0.046,0.008,0.4,0.004
2021-09-08,20,23,6,0.034,0.008,0.5,0.004
2021-09-08,21,22,9,0.032,0.005,0.4,0.004
2021-09-08,22,25,9,0.031,0.005,0.4,0.004
2021-09-08,23,20,6,0.028,0.004,0.4,0.004
2021-09-08,24,24,13,0.026,0.004,0.5,0.004
2021-09-09,1,22,9,0.024,0.004,0.5,0.004
2021-09-09,2,23,12,0.016,0.008,0.5,0.004
2021-09-09,3,20,9,0.017,0.006,0.5,0.004
2021-09-09,4,21,10,0.019,0.004,0.4,0.004
2021-09-09,5,23,13,0.019,0.004,0.4,0.004
2021-09-09,6,19,9,0.016,0.006,0.5,0.004
2021-09-09,7,21,16,0.012,0.010,0.5,0.004
2021-09-09,8,21,7,0.016,0.011,0.5,0.004
2021-09-09,9,30,18,0.019,0.012,0.5,0.004
2021-09-09,10,30,18,0.023,0.012,0.5,0.005
2021-09-09,11,33,21,0.043,0.013,0.5,0.005
2021-09-09,12,33,24,0.057,0.011,0.5,0.005
2021-09-09,13,29,15,0.066,0.008,0.5,0.005
2021-09-09,14,24,13,0.070,0.005,0.4,0.005
2021-09-09,15,17,11,0.075,0.005,0.4,0.005
2021-09-09,16,24,13,0.071,0.008,0.4,0.005
2021-09-09,17,23,14,0.061,0.009,0.4,0.005
2021-09-09,18,41,24,0.043,0.007,0.4,0.005
2021-09-09,19,33,15,0.047,0.006,0.5,0.005
2021-09-09,20,26,13,0.049,0.008,0.6,0.005
2021-09-09,21,39,21,0.045,0.010,0.7,0.005
2021-09-09,22,39,22,0.042,0.011,0.7,0.005
2021-09-09,23,48,29,0.037,0.008,0.7,0.005
2021-09-09,24,42,25,0.035,0.006,0.6,0.005
2021-09-10,1,36,21,0.031,0.006,0.6,0.005
2021-09-10,2,31,20,0.033,0.006,0.5,0.004
2021-09-10,3,36,23,0.028,0.007,0.6,0.005
2021-09-10,4,34,23,0.022,0.006,0.5,0.004
2021-09-10,5,31,18,0.021,0.005,0.5,0.004
2021-09-10,6,35,21,0.014,0.009,0.5,0.004
2021-09-10,7,30,26,0.007,0.011,0.6,0.004
2021-09-10,8,50,30,0.008,0.011,0.6,0.004
2021-09-10,9,44,25,0.008,0.011,0.6,0.005
2021-09-10,10,46,34,0.010,0.014,0.6,0.005
2021-09-10,11,61,33,0.019,0.016,0.6,0.005
2021-09-10,12,59,40,0.029,0.020,0.6,0.005
2021-09-10,13,52,40,0.038,0.023,0.6,0.005
2021-09-10,14,61,39,0.056,0.019,0.6,0.006
2021-09-10,15,57,39,0.055,0.022,0.6,0.006
2021-09-10,16,57,48,0.068,0.018,0.6,0.006
2021-09-10,17,51,41,0.061,0.016,0.5,0.006
2021-09-10,18,46,31,0.052,0.021,0.5,0.006
2021-09-10,19,46,33,0.045,0.022,0.5,0.005
2021-09-10,20,36,23,0.039,0.016,0.5,0.005
2021-09-10,21,33,27,0.034,0.014,0.5,0.005
2021-09-10,22,37,20,0.024,0.022,0.5,0.005
2021-09-10,23,41,29,0.031,0.016,0.5,0.005
2021-09-10,24,38,26,0.024,0.019,0.6,0.005
2021-09-11,1,36,32,0.020,0.019,0.5,0.005
2021-09-11,2,42,20,0.014,0.019,0.5,0.005
2021-09-11,3,41,25,0.013,0.017,0.5,0.005
2021-09-11,4,36,23,0.017,0.012,0.5,0.004
2021-09-11,5,35,23,0.018,0.010,0.5,0.004
2021-09-11,6,42,23,0.013,0.011,0.5,0.004
2021-09-11,7,37,28,0.009,0.011,0.5,0.004
2021-09-11,8,33,18,0.010,0.010,0.5,0.005
2021-09-11,9,40,21,0.012,0.009,0.5,0.005
2021-09-11,10,52,39,0.026,0.013,0.5,0.005
2021-09-11,11,48,33,0.050,0.009,0.5,0.005
2021-09-11,12,38,29,0.062,0.008,0.5,0.005
2021-09-11,13,36,25,0.072,0.010,0.5,0.005
2021-09-11,14,33,27,0.079,0.007,0.4,0.005
2021-09-11,15,26,20,0.088,0.007,0.4,0.005
2021-09-11,16,27,23,0.090,0.007,0.4,0.005
2021-09-11,17,30,12,0.083,0.006,0.4,0.005
2021-09-11,18,31,11,0.058,0.005,0.4,0.005
2021-09-11,19,28,16,0.061,0.005,0.4,0.005
2021-09-11,20,27,16,0.063,0.006,0.5,0.005
2021-09-11,21,28,15,0.060,0.008,0.6,0.005
2021-09-11,22,35,19,0.054,0.009,0.6,0.005
2021-09-11,23,35,16,0.045,0.009,0.6,0.005
2021-09-11,24,33,20,0.036,0.010,0.6,0.005
2021-09-12,1,36,21,0.043,0.006,0.5,0.005
2021-09-12,2,34,24,0.027,0.010,0.6,0.005
2021-09-12,3,38,23,0.019,0.010,0.5,0.005
2021-09-12,4,38,23,0.020,0.008,0.5,0.005
2021-09-12,5,40,23,0.018,0.007,0.5,0.004
2021-09-12,6,35,23,0.012,0.008,0.5,0.004
2021-09-12,7,33,28,0.008,0.009,0.6,0.004
2021-09-12,8,35,19,0.011,0.007,0.6,0.005
2021-09-12,9,39,26,0.020,0.009,0.6,0.005
2021-09-12,10,47,30,0.042,0.008,0.5,0.005
2021-09-12,11,44,36,0.060,0.006,0.5,0.005
2021-09-12,12,34,24,0.068,0.005,0.5,0.005
2021-09-12,13,34,20,0.072,0.005,0.5,0.005
2021-09-12,14,25,14,0.074,0.005,0.4,0.005
2021-09-12,15,31,13,0.074,0.005,0.4,0.006
2021-09-12,16,24,16,0.079,0.006,0.5,0.006
2021-09-12,17,35,19,0.078,0.008,0.6,0.007
2021-09-12,18,31,16,0.065,0.007,0.5,0.006
2021-09-12,19,31,13,0.064,0.006,0.5,0.005
2021-09-12,20,31,19,0.059,0.005,0.5,0.005
2021-09-12,21,25,16,0.056,0.005,0.5,0.005
2021-09-12,22,29,21,0.055,0.005,0.5,0.005
2021-09-12,23,23,18,0.056,0.004,0.5,0.005
2021-09-12,24,27,9,0.054,0.004,0.5,0.005
2021-09-13,1,25,14,0.052,0.003,0.5,0.005
2021-09-13,2,22,20,0.036,0.006,0.4,0.005
2021-09-13,3,33,13,0.036,0.005,0.4,0.005
2021-09-13,4,26,12,0.051,0.003,0.4,0.005
2021-09-13,5,28,11,0.048,0.003,0.4,0.005
2021-09-13,6,27,11,0.043,0.005,0.4,0.005
2021-09-13,7,30,10,0.040,0.006,0.4,0.005
2021-09-13,8,27,9,0.040,0.006,0.4,0.005
2021-09-13,9,28,10,0.040,0.006,0.4,0.005
2021-09-13,10,29,8,0.038,0.007,0.4,0.005
2021-09-13,11,29,14,0.041,0.008,0.5,0.005
2021-09-13,12,29,10,0.048,0.005,0.4,0.005
2021-09-13,13,33,13,0.051,0.005,0.4,0.005
2021-09-13,14,29,9,0.052,0.005,0.5,0.006
2021-09-13,15,30,17,0.051,0.006,0.5,0.006
2021-09-13,16,33,8,0.048,0.006,0.5,0.006
2021-09-13,17,35,10,0.046,0.007,0.5,0.006
2021-09-13,18,28,8,0.044,0.007,0.5,0.006
2021-09-13,19,33,8,0.039,0.008,0.4,0.005
2021-09-13,20,22,7,0.039,0.006,0.4,0.005
2021-09-13,21,24,9,0.038,0.005,0.4,0.005
2021-09-13,22,24,12,0.039,0.005,0.4,0.005
2021-09-13,23,21,6,0.037,0.005,0.4,0.005
2021-09-13,24,22,7,0.036,0.006,0.5,0.005
